일시,평균기온(°C),최저기온(°C),최고기온(°C)
2019-01-01,1,-1.9,5.5
2019-01-02,1.2,-2.5,6.4
2019-01-03,3,-1.7,8.4
2019-01-04,5,1.4,8.2
2019-01-05,5.5,2.2,10.7
2019-01-06,4.4,1.3,10.7
2019-01-07,4.4,0.7,9.5
2019-01-08,3.2,-0.7,8.2
2019-01-09,2.3,-2.6,7.6
2019-01-10,4.8,2.5,9
2019-01-11,6.2,0.4,12.2
2019-01-12,6.2,4.7,8.3
2019-01-13,6.8,3.2,12.5
2019-01-14,7.3,2.4,13.5
2019-01-15,5.6,1.4,10.4
2019-01-16,0,-4.4,5.6
2019-01-17,2.4,-2,7.6
2019-01-18,5.5,1.1,10.8
2019-01-19,7.5,4.2,12.2
2019-01-20,5.5,0.5,10.6
2019-01-21,2.8,-2.3,7.9
2019-01-22,5.5,0.9,10.6
2019-01-23,6.5,2.1,10.7
2019-01-24,5.7,1.5,11.6
2019-01-25,4.2,-0.1,7.9
2019-01-26,1,-2.6,6.3
2019-01-27,3.9,-0.7,9
2019-01-28,5.3,2,10.9
2019-01-29,5.2,-0.6,11.4
2019-01-30,8.6,5.4,13.7
2019-01-31,2.2,-1.5,8.9
2019-02-01,0.4,-4.2,5.5
2019-02-02,4.2,-1.3,8.3
2019-02-03,11.6,7.4,14.9
2019-02-04,6.8,3.4,10.5
2019-02-05,8,2.5,13
2019-02-06,10.5,6.6,15.5
2019-02-07,8.3,1.5,13.4
2019-02-08,3.2,-1.4,9
2019-02-09,2.5,0.2,5.6
2019-02-10,4,-1.3,9.7
2019-02-11,2.9,0,6.8
2019-02-12,4,-0.5,9.4
2019-02-13,4.6,1.2,9
2019-02-14,5.2,2,11.3
2019-02-15,6.3,4,8.8
2019-02-16,3.2,0.4,7.5
2019-02-17,3.2,-1.7,9.5
2019-02-18,6.5,2.2,10.5
2019-02-19,7.1,5.4,10.4
2019-02-20,5.6,2,10.3
2019-02-21,6.9,1.5,12.7
2019-02-22,9,5.3,14.1
2019-02-23,9.2,6.5,15.2
2019-02-24,9,4.6,13.8
2019-02-25,10.8,6.4,16.2
2019-02-26,10.9,6.5,16
2019-02-27,10.4,8.8,13
2019-02-28,10.6,7.5,16.5
2019-03-01,10.6,7,16.1
2019-03-02,10.7,7.1,15.5
2019-03-03,11.5,9.5,15.4
2019-03-04,11.4,8.8,16.9
2019-03-05,12,7.9,16
2019-03-06,10.7,8.8,13.8
2019-03-07,9.7,7.3,14
2019-03-08,10.5,5.6,14.5
2019-03-09,11.8,7.4,15.4
2019-03-10,8.4,6.7,12.2
2019-03-11,9.8,5.8,14.5
2019-03-12,9.4,4.5,14.8
2019-03-13,5.5,0.5,11.4
2019-03-14,8,2.7,12.1
2019-03-15,8.2,3.6,13.3
2019-03-16,7.7,2.5,12.6
2019-03-17,9.9,5.4,15.4
2019-03-18,11.5,8.1,14.4
2019-03-19,13.9,9.2,19.3
2019-03-20,13.8,11.2,17.2
2019-03-21,15.6,10.6,21
2019-03-22,9.4,5.4,14.4
2019-03-23,7,3.7,13.5
2019-03-24,6.9,2,11.1
2019-03-25,8.7,4.5,11.8
2019-03-26,13.6,7.2,20.7
2019-03-27,14.8,12.3,18.7
2019-03-28,12.8,10.7,16.1
2019-03-29,13.9,10.5,17.1
2019-03-30,11.6,5.6,16.1
2019-03-31,7.7,4.4,13.5
2019-04-01,7.7,2.1,14.1
2019-04-02,9.4,4.5,15
2019-04-03,9.8,5.7,13.9
2019-04-04,12.1,6,17.4
2019-04-05,13.9,10.1,18
2019-04-06,14.4,10.4,18.4
2019-04-07,12.4,9.9,15.9
2019-04-08,13.1,9.5,18.3
2019-04-09,11.2,8.4,15.8
2019-04-10,9.7,7.9,12.9
2019-04-11,10.2,6.8,14.2
2019-04-12,11.8,7.4,16.4
2019-04-13,13.5,9.2,17.2
2019-04-14,13.3,10.6,15.6
2019-04-15,12.7,7.9,17.9
2019-04-16,16,10.3,21.2
2019-04-17,18,14.3,23.4
2019-04-18,16.4,14.2,20
2019-04-19,13.8,10.1,16.8
2019-04-20,14.4,9.7,18.2
2019-04-21,17.2,13.4,22
2019-04-22,17.1,14.1,22.2
2019-04-23,16.2,14.5,19.5
2019-04-24,16.8,15.1,20.5
2019-04-25,14.8,13,16.3
2019-04-26,11.3,8.5,13.1
2019-04-27,12.1,8.1,16.3
2019-04-28,13.2,10.7,16.9
2019-04-29,13,12.1,13.8
2019-04-30,15.6,13.1,18.9
2019-05-01,17,14.3,20.8
2019-05-02,17.6,14.8,21.7
2019-05-03,19.1,15.3,23.1
2019-05-04,19.1,15.1,23.6
2019-05-05,19.6,15.4,23.9
2019-05-06,16.6,12.8,21.3
2019-05-07,15.2,11,20
2019-05-08,17.3,12.9,21.6
2019-05-09,18.6,16,22.9
2019-05-10,19,16,23.8
2019-05-11,19.5,14.3,24.4
2019-05-12,20.2,15.9,25.8
2019-05-13,17.8,14.8,20.7
2019-05-14,20.5,17.2,24.7
2019-05-15,21.6,18.7,25.7
2019-05-16,21.7,18,26.7
2019-05-17,21.1,17.8,23.7
2019-05-18,17.7,16.5,20.4
2019-05-19,19.4,18,21.9
2019-05-20,19,14.1,23.3
2019-05-21,17.9,12.2,22.3
2019-05-22,19.7,15.8,24.6
2019-05-23,19.3,16.2,26.1
2019-05-24,20.9,16.2,25.4
2019-05-25,23.4,19.2,30.1
2019-05-26,22,18.5,25.7
2019-05-27,19.3,18.4,20.9
2019-05-28,18,15.1,22.5
2019-05-29,20.6,14,25.4
2019-05-30,22.5,17.8,26.9
2019-05-31,18.4,14.9,22.9
2019-06-01,19.8,16.2,24.8
2019-06-02,20.9,17.4,24.6
2019-06-03,21.3,17.4,25.6
2019-06-04,23.4,19.2,26.5
2019-06-05,23.9,20.4,29.7
2019-06-06,22.1,17.8,27
2019-06-07,18.7,16.8,20
2019-06-08,19.1,17,22.2
2019-06-09,18.5,16.4,22.1
2019-06-10,18.8,15.8,22.7
2019-06-11,18.5,16.1,22.1
2019-06-12,19.1,16.9,22.3
2019-06-13,19.6,15.5,23
2019-06-14,19.6,17.2,23.7
2019-06-15,20.6,17.2,25.3
2019-06-16,20.1,17.7,23.4
2019-06-17,20.8,17.6,24.6
2019-06-18,21.7,19.5,24.8
2019-06-19,23.4,19.3,27.3
2019-06-20,24.3,21.6,27.5
2019-06-21,23.3,21,26.8
2019-06-22,21.3,19.1,25
2019-06-23,20.9,18.4,24.8
2019-06-24,20.9,18,24.5
2019-06-25,21.9,18.5,26.8
2019-06-26,20.9,19.6,21.8
2019-06-27,22.4,20.7,24.4
2019-06-28,22.2,20.8,25.5
2019-06-29,21.4,20,23.7
2019-06-30,23.3,21.3,28.1
2019-07-01,23.1,21.3,27.8
2019-07-02,23.4,20.9,26.4
2019-07-03,21.9,20.4,24.1
2019-07-04,24.2,19.8,28.3
2019-07-05,23.8,20.6,26.9
2019-07-06,24.3,20.7,28.9
2019-07-07,23,20.8,26.5
2019-07-08,22.2,20.5,26.9
2019-07-09,22.2,20.2,26.1
2019-07-10,21.7,20.7,22.7
2019-07-11,23.8,21.6,27.2
2019-07-12,24.1,21.5,28.9
2019-07-13,22.3,21,23.5
2019-07-14,23.6,20.6,26.8
2019-07-15,23.6,21.8,26.6
2019-07-16,23.8,21,27.1
2019-07-17,23.8,21.2,27.8
2019-07-18,22.3,21.2,23
2019-07-19,23.1,22.7,23.7
2019-07-20,23.4,23,23.9
2019-07-21,23.6,22.2,26
2019-07-22,25.8,22.9,29.1
2019-07-23,26.6,24.9,29.9
2019-07-24,26,24.6,29.3
2019-07-25,25.6,24.9,27.7
2019-07-26,25.8,24.7,26.8
2019-07-27,25.9,24.7,26.9
2019-07-28,26.9,25.7,29.1
2019-07-29,27,25.2,30.3
2019-07-30,27.7,25.5,30.5
2019-07-31,28,26.2,30.9
2019-08-01,28.1,25.6,31.3
2019-08-02,29.4,26.7,33
2019-08-03,28.9,26.3,32.7
2019-08-04,28.8,26.4,32.2
2019-08-05,28.8,26.1,32.8
2019-08-06,25.8,23.2,29.8
2019-08-07,27.5,23.4,30.9
2019-08-08,28.7,25.9,32.5
2019-08-09,28.9,26.6,32.5
2019-08-10,28.3,26,32.3
2019-08-11,28,26.3,30.6
2019-08-12,29.3,27,31.9
2019-08-13,30.6,27.1,35
2019-08-14,29.4,26.5,33.3
2019-08-15,27.4,26.7,28.5
2019-08-16,28.2,26.3,31.6
2019-08-17,27.2,24.5,29.9
2019-08-18,27.3,25.2,29.8
2019-08-19,27.2,25.2,30.2
2019-08-20,26.8,25.1,30.3
2019-08-21,26.6,25,29.4
2019-08-22,26.1,25,27.3
2019-08-23,25.5,23.5,28.2
2019-08-24,25,21.6,28.3
2019-08-25,24.3,22.7,27.6
2019-08-26,25.2,21.8,28.8
2019-08-27,23.5,22.2,25.1
2019-08-28,24.1,22.7,26.3
2019-08-29,23.1,22.1,24.3
2019-08-30,24.6,20.3,28.9
2019-08-31,24.4,21,28.3
2019-09-01,23.7,21.4,27.7
2019-09-02,21.4,20.2,22.9
2019-09-03,23,21.9,25.8
2019-09-04,24.5,22,26.8
2019-09-05,26.5,24,29.3
2019-09-06,27,25.6,28.8
2019-09-07,26,24.1,27.3
2019-09-08,25.3,23.5,29.1
2019-09-09,27,23.9,30.5
2019-09-10,26.7,25.2,29.2
2019-09-11,25.1,23.3,29.2
2019-09-12,21.6,19.9,23.6
2019-09-13,23.2,20.5,27.4
2019-09-14,23.8,20.1,27.7
2019-09-15,24.9,21.5,29.3
2019-09-16,23.4,20.2,28
2019-09-17,22.9,19.6,28.1
2019-09-18,22.9,19.6,28.2
2019-09-19,21.6,18.7,25.6
2019-09-20,21.5,18,26.5
2019-09-21,18.2,17.2,20.6
2019-09-22,18.2,17.1,19.1
2019-09-23,17.9,16.7,20.7
2019-09-24,19.4,15.8,24.2
2019-09-25,20.4,15.8,25.4
2019-09-26,22.9,19.1,27.8
2019-09-27,22.1,20.6,26.1
2019-09-28,22.4,21.3,26.1
2019-09-29,23.9,21.3,28.8
2019-09-30,24.1,22.5,27.7
2019-10-01,22.4,21.6,23.3
2019-10-02,22.7,21.6,23.8
2019-10-03,24.6,22.3,28.8
2019-10-04,22.9,20.2,25.8
2019-10-05,21.7,18.5,26.4
2019-10-06,18.7,16.4,22.8
2019-10-07,18.3,16.4,21.2
2019-10-08,18.9,16,24
2019-10-09,17.5,12.6,23.2
2019-10-10,19.4,14.1,24.5
2019-10-11,21.1,16.7,27
2019-10-12,19.9,16.5,24.5
2019-10-13,18,15.1,23
2019-10-14,18.3,14.3,23
2019-10-15,15.6,13.4,18.9
2019-10-16,16.2,12.5,21.4
2019-10-17,17.1,14.1,21.2
2019-10-18,16.8,15.5,17.7
2019-10-19,19.1,15.8,24
2019-10-20,18.7,14.9,23.6
2019-10-21,18.6,15.2,23.7
2019-10-22,19,16.1,23.8
2019-10-23,18,16.3,20.8
2019-10-24,18.4,16.4,21.2
2019-10-25,19.6,16.8,24.9
2019-10-26,17.5,13.9,21.4
2019-10-27,14,10.4,18.7
2019-10-28,15.4,10.7,19.9
2019-10-29,16.4,13.3,21.2
2019-10-30,14.6,10.6,20.4
2019-10-31,16.2,11,22.4
2019-11-01,17.5,13.4,24
2019-11-02,17.5,14.4,22.6
2019-11-03,16.4,14,22.3
2019-11-04,14.3,12.3,19.7
2019-11-05,15.2,10.8,20.7
2019-11-06,15.8,11.7,21.3
2019-11-07,14.4,11.7,19.2
2019-11-08,13.8,10.7,19
2019-11-09,14.3,9,20.2
2019-11-10,14.3,10,18.3
2019-11-11,14.8,11.8,19.7
2019-11-12,14.2,10.9,19.1
2019-11-13,13.9,9.9,16.3
2019-11-14,7.6,4.8,14.4
2019-11-15,11.2,5.6,16.4
2019-11-16,15.1,11.1,19.8
2019-11-17,16.3,12.3,19.1
2019-11-18,13.2,6.7,19.5
2019-11-19,6.7,3.8,10.8
2019-11-20,6.2,2,12.4
2019-11-21,10.6,4,16.3
2019-11-22,14.5,10.1,20.3
2019-11-23,15.5,12.2,20.5
2019-11-24,16,13.4,18.9
2019-11-25,11.6,9.5,16.6
2019-11-26,11.4,8.8,16.7
2019-11-27,10.1,8.8,11.7
2019-11-28,9,6.3,12.9
2019-11-29,8.4,5,14
2019-11-30,11.1,6.5,15.7
2019-12-01,9.5,6.5,12.1
2019-12-02,6.6,2.6,10.5
2019-12-03,4.6,0.3,9.2
2019-12-04,7.2,4.6,11.3
2019-12-05,4.6,0,9.6
2019-12-06,0.2,-2.8,4.7
2019-12-07,3.6,-2.2,9.7
2019-12-08,6.1,2.4,12
2019-12-09,7.8,3.7,13.4
2019-12-10,11.5,6.8,16.3
2019-12-11,12.1,5.8,16.6
2019-12-12,4.9,2.2,9.3
2019-12-13,6.8,2.3,10.5
2019-12-14,8.5,6.2,12.7
2019-12-15,9.1,6.8,14.5
2019-12-16,10.8,6.3,16.4
2019-12-17,12.8,9.1,16.6
2019-12-18,10.4,8,15.7
2019-12-19,6.6,3.6,12.2
2019-12-20,5,1.2,9.4
2019-12-21,4.3,1.7,6.3
2019-12-22,6.5,4.2,10
2019-12-23,8.2,5,12.9
2019-12-24,7.7,3,14.3
2019-12-25,10.7,5.4,16.3
2019-12-26,7.8,4,12.2
2019-12-27,3.6,0.4,9
2019-12-28,4.1,-0.3,9.4
2019-12-29,6.5,2.6,9.5
2019-12-30,9.6,7.1,14
2019-12-31,0.1,-2.5,7.1
2020-01-01,1.9,-3.2,7.8
2020-01-02,4.1,0.5,9.6
2020-01-03,5.9,2.3,11.6
2020-01-04,5.5,2,9.7
2020-01-05,7.4,2.6,13.5
2020-01-06,7.8,5.5,9
2020-01-07,14.4,9,17.7
2020-01-08,8.8,4.9,15
2020-01-09,5.3,2.3,9.8
2020-01-10,5.9,0.9,12.3
2020-01-11,5.9,1.9,10.5
2020-01-12,4.6,2,8.8
2020-01-13,3.5,1,8.1
2020-01-14,2.1,-0.3,5.5
2020-01-15,2.4,-0.4,7
2020-01-16,3.8,-0.3,9.5
2020-01-17,6.4,3.2,11.8
2020-01-18,5.3,1.4,9.8
2020-01-19,4.9,2.1,9.4
2020-01-20,5.1,1.6,9.8
2020-01-21,5,0.1,10.3
2020-01-22,7.7,4.8,9.3
2020-01-23,8.8,8.1,10.1
2020-01-24,10.2,5.9,15.9
2020-01-25,9.1,8,11.6
2020-01-26,9.5,7.4,13.8
2020-01-27,6.7,4.8,10
2020-01-28,8.9,6,13.1
2020-01-29,8.5,6.6,13
2020-01-30,7.1,4.2,12.9
2020-01-31,6.3,2.3,11.2
2020-02-01,5.6,1.5,10.4
2020-02-02,7.1,3.3,11.7
2020-02-03,5.6,2.4,10.4
2020-02-04,5.2,0.3,10.1
2020-02-05,1.8,-2.4,5
2020-02-06,1.2,-5,7.1
2020-02-07,5,2.1,10.4
2020-02-08,4.1,0.4,9.4
2020-02-09,3.8,-0.7,8.9
2020-02-10,6.3,0.7,12.2
2020-02-11,9.7,4.4,14.5
2020-02-12,11.7,9.9,14.1
2020-02-13,11.4,8.1,16.2
2020-02-14,12.3,9.2,18.1
2020-02-15,12.8,9.7,17.3
2020-02-16,7,0.8,13.7
2020-02-17,0.1,-3,3
2020-02-18,1.2,-4.5,7.9
2020-02-19,6.1,0.1,12.5
2020-02-20,9.3,4.6,14.7
2020-02-21,11,5.5,16
2020-02-22,9.5,5.1,12.9
2020-02-23,6,1.1,11.7
2020-02-24,10.8,5.5,15.7
2020-02-25,9.7,7.9,12.7
2020-02-26,9.5,6.8,14.1
2020-02-27,6.8,4.7,10.7
2020-02-28,6.9,4.8,8.9
2020-02-29,9.5,7,13
2020-03-01,10.8,7.2,15.6
2020-03-02,8.5,5.2,14.7
2020-03-03,8.7,5.6,12.6
2020-03-04,7.9,1.7,13
2020-03-05,5.1,-0.3,11.5
2020-03-06,8.1,3.2,12.6
2020-03-07,8.2,6.1,11.8
2020-03-08,10.4,5.5,16.4
2020-03-09,11,7.4,15.2
2020-03-10,9.9,7.3,12.1
2020-03-11,7.8,3.6,13.5
2020-03-12,9.5,3.6,14.5
2020-03-13,11.6,8.5,17
2020-03-14,8.2,4.7,12
2020-03-15,7.7,2.9,12.7
2020-03-16,6.6,1.1,11.8
2020-03-17,11.1,6,15.9
2020-03-18,12.2,7.7,17.3
2020-03-19,12.6,7.4,18.2
2020-03-20,10.4,6.4,14.8
2020-03-21,13.7,9.8,17.9
2020-03-22,14.1,11,17.5
2020-03-23,12.6,8.8,17.1
2020-03-24,11.5,8.6,15.3
2020-03-25,13,7.6,17.9
2020-03-26,14.5,12.1,16.3
2020-03-27,13.7,9.7,16.8
2020-03-28,9.4,7.7,13
2020-03-29,10.4,6.4,15.1
2020-03-30,11.6,8.6,15.7
2020-03-31,12.9,8.5,18
2020-04-01,12.5,10.8,17.1
2020-04-02,11.5,7.2,16.2
2020-04-03,13.8,9.6,19.1
2020-04-04,12.8,8.5,19.6
2020-04-05,9.7,5.6,14.1
2020-04-06,11.7,7.3,15.1
2020-04-07,14.5,9.5,20.6
2020-04-08,13.3,9.2,19.1
2020-04-09,11.8,8,18
2020-04-10,10,8.3,12.2
2020-04-11,10.5,7.9,14.2
2020-04-12,9,7.2,11.9
2020-04-13,10.1,6.8,15.5
2020-04-14,15.1,8.8,21.1
2020-04-15,14.5,12,18.4
2020-04-16,12.9,10.5,16.7
2020-04-17,12.2,11.3,13.1
2020-04-18,13.9,10.2,20.6
2020-04-19,11.8,10.5,14.7
2020-04-20,14,10.1,18.1
2020-04-21,12.2,8.1,18.8
2020-04-22,9.3,5.1,16
2020-04-23,10.3,4.4,16.9
2020-04-24,11.1,6.1,14.7
2020-04-25,14.8,10.1,18.3
2020-04-26,14.2,10.4,21.3
2020-04-27,13.7,9.5,19.5
2020-04-28,14.3,9.5,20.9
2020-04-29,16.2,11.4,24.4
2020-04-30,16.9,13,20.1
2020-05-01,19.5,16.7,22.7
2020-05-02,18.7,17,21.8
2020-05-03,16.8,16.2,17.9
2020-05-04,19,15.8,25
2020-05-05,15.9,14.2,18.5
2020-05-06,17.9,14,21.8
2020-05-07,16.5,12.5,21
2020-05-08,17.4,12.3,21.1
2020-05-09,16.4,14.8,18.6
2020-05-10,17.6,14.7,20.6
2020-05-11,18.8,15.3,25.4
2020-05-12,18.2,15.6,21.4
2020-05-13,17.9,12.5,22.8
2020-05-14,20.1,16.4,25.4
2020-05-15,16.3,14.3,18.8
2020-05-16,18.2,16.1,24.4
2020-05-17,18.2,15.9,21.6
2020-05-18,17.3,16.4,19.8
2020-05-19,15.6,13.3,19
2020-05-20,15.2,12.2,19.4
2020-05-21,14.9,13.2,18.1
2020-05-22,15.4,12.2,18.7
2020-05-23,16.8,12.8,20.9
2020-05-24,19.1,14.6,22.5
2020-05-25,19.4,16.8,23.2
2020-05-26,19,16.6,22.2
2020-05-27,19.4,16.4,26
2020-05-28,19.2,15.2,25.1
2020-05-29,19.7,15.7,24.5
2020-05-30,20.2,17.3,23.7
2020-05-31,19.6,17.3,23.6
2020-06-01,22,18.3,25.5
2020-06-02,21.1,18,25.1
2020-06-03,21.3,18.6,25.7
2020-06-04,22.9,20.3,26.6
2020-06-05,22,18.4,27
2020-06-06,21,17.7,26.6
2020-06-07,21.5,17.8,24.6
2020-06-08,23.3,18,28
2020-06-09,24,18.6,29.4
2020-06-10,24.7,20.9,28.9
2020-06-11,22.6,21.3,25.9
2020-06-12,22.6,21.1,25.8
2020-06-13,22,21,24.2
2020-06-14,23.3,20.2,27
2020-06-15,23.8,20.3,29
2020-06-16,23.9,21.4,29
2020-06-17,22.3,19.7,26.2
2020-06-18,18.3,16.8,21.2
2020-06-19,21.8,18.3,27.1
2020-06-20,21.2,19,24.9
2020-06-21,21.2,18,25.3
2020-06-22,22.8,18,27.7
2020-06-23,23.8,19.9,29
2020-06-24,22.6,20.5,26.2
2020-06-25,22,20.9,24.6
2020-06-26,23.3,20.3,28.2
2020-06-27,23.2,20.2,27.9
2020-06-28,24.9,21.7,30.7
2020-06-29,21.6,18.9,25.2
2020-06-30,22,19.9,24.7
2020-07-01,20.8,19.1,24.3
2020-07-02,21.7,19,25.8
2020-07-03,20.6,18.7,22.1
